La_name,La_code,Total:_All_households,Household_is_not_deprived_in_any_dimension,Household_is_deprived_in_one_dimension,Household_is_deprived_in_two_dimensions,Household_is_deprived_in_three_dimensions,Household_is_deprived_in_four_dimensions,Total_population,Person_per_household,No_deprivation,Deprivation_in_one_dimesion,Deprivation_in_two_dimesion,Deprivation_in_three_dimesion,Deprivation_in_four_dimesion
Knowsley,E08000011,66073,26952,21374,12688,4856,203,154519,2.338610325,63030,49985,29672,11356,475
Liverpool,E08000012,207491,86264,67761,38407,14386,673,486089,2.342699201,202091,158744,89976,33702,1577
St. Helens,E08000013,81013,35793,27070,13852,4161,137,183248,2.261957957,80962,61231,31333,9412,310
Sefton,E08000014,123073,55668,41850,19817,5463,275,279234,2.26884857,126302,94951,44962,12395,624
Wirral,E08000015,143252,65530,47854,22925,6645,298,320196,2.235193924,146472,106963,51242,14853,666
"Kingston upon Hull, City of",E06000010,115472,47556,39375,21788,6452,301,267013,2.312361438,109967,91049,50382,14919,696
East Riding of Yorkshire,E06000011,152066,77704,51733,18920,3542,167,342215,2.25043731,174868,116422,42578,7971,376
North East Lincolnshire,E06000012,69826,30701,24150,11618,3222,135,156966,2.247959213,69015,54288,26117,7243,303
North Lincolnshire,E06000013,73173,33731,25637,11151,2565,89,169681,2.318901781,78219,59450,25858,5948,206
York,E06000014,85459,46025,27910,9518,1918,88,202821,2.373313519,109232,66239,22589,4552,209
North Yorkshire,E06000065,274381,146295,90469,31146,6141,330,615492,2.243201971,328169,202940,69867,13776,740
